date,rating,deviation,n_faceoffs,wins,player_id,player_name
2012-10,1270.8647119373509,82.96403286835302,59,15,8473962,Teddy Purcell
2012-11,1323.279389837523,82.16685171262655,63,17,8473962,Teddy Purcell
2012-12,1307.2081234423667,83.50491133101207,65,17,8473962,Teddy Purcell
2013-01,1348.6922105453025,95.71519973339191,66,18,8473962,Teddy Purcell
2013-02,1324.822126237516,87.4662727473011,70,19,8473962,Teddy Purcell
2013-03,1313.2903248277657,89.42236476574996,71,19,8473962,Teddy Purcell
2014-04,1280.590220459777,108.45734463499957,73,19,8473962,Teddy Purcell
2014-10,1234.136628514293,100.61985116307605,76,19,8473962,Teddy Purcell
2014-11,1301.6629366968764,90.02116259417372,82,22,8473962,Teddy Purcell
2014-12,1299.9427648185513,84.87573164209286,87,23,8473962,Teddy Purcell
2015-01,1309.6488636690935,93.32795172257853,89,24,8473962,Teddy Purcell
2015-02,1385.5173933294968,92.49626672630353,91,26,8473962,Teddy Purcell
2015-03,1430.7453287368494,94.95305162482963,92,27,8473962,Teddy Purcell
2015-04,1410.0817675101334,95.27848983018147,93,27,8473962,Teddy Purcell
2015-12,1369.503065671151,102.46686611173412,94,27,8473962,Teddy Purcell
2016-01,1390.3158974611576,105.6413705986159,96,28,8473962,Teddy Purcell
2016-03,1439.0431082387843,108.22201456114308,97,29,8473962,Teddy Purcell
2016-10,1407.4843300951545,109.30258776288971,98,29,8473962,Teddy Purcell
2016-11,1385.133139575656,107.835646706968,99,29,8473962,Teddy Purcell
2016-12,1371.3644740727073,107.76492302153795,100,29,8473962,Teddy Purcell
2017-11,1528.3426174626911,114.89024252586914,103,32,8473962,Teddy Purcell
Starting,1500.0,240.0,0,0,8471451,Aaron Gagnon
2011-01,1818.0642877043574,137.0518766621009,7,7,8471451,Aaron Gagnon
2011-02,1374.045651164898,84.42237141569957,32,17,8471451,Aaron Gagnon
2011-10,1423.9368039184565,90.7947850976861,34,19,8471451,Aaron Gagnon
2011-12,1473.349902428275,62.354252592613044,55,30,8471451,Aaron Gagnon
2012-01,1478.7150496498898,73.5373614025175,59,32,8471451,Aaron Gagnon
2012-02,1468.2382271754313,48.37161900626723,95,48,8471451,Aaron Gagnon
2013-04,1493.9324500279918,44.0936388925327,152,78,8471451,Aaron Gagnon
Starting,1500.0,240.0,0,0,8473558,Cory Emmerton
2011-01,1436.466933842813,214.25798552933776,1,0,8473558,Cory Emmerton
2012-01,1447.415336883447,73.23887299239547,27,11,8473558,Cory Emmerton
2012-02,1491.5508306566649,44.271444865270816,82,36,8473558,Cory Emmerton
2012-03,1539.741726141335,31.315308446877413,179,93,8473558,Cory Emmerton
